,PassengerId,Pclass,Age,SibSp,Parch,Fare,sex_lab,embarked_lab,family,socio,Deck_B,Deck_C,Deck_D,Deck_E,Deck_other,Survived
0,1,3,22.0,1,0,7.25,0,1.0,1,6,0,0,0,0,0,0
1,2,1,38.0,1,0,71.2833,1,2.0,1,2,0,1,0,0,0,1
2,3,3,26.0,0,0,7.925,1,1.0,0,3,0,0,0,0,0,1
3,4,1,35.0,1,0,53.1,1,1.0,1,2,0,1,0,0,0,1
4,5,3,35.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
5,6,3,24.0,0,0,8.4583,0,3.0,0,3,0,0,0,0,0,0
6,7,1,54.0,0,0,51.8625,0,1.0,0,1,0,0,0,1,0,0
7,8,3,2.0,3,1,21.075,0,1.0,4,15,0,0,0,0,0,0
8,9,3,27.0,0,2,11.1333,1,1.0,2,9,0,0,0,0,0,1
9,10,2,14.0,1,0,30.0708,1,2.0,1,4,0,0,0,0,0,1
10,11,3,4.0,1,1,16.7,1,1.0,2,9,0,0,0,0,1,1
11,12,1,58.0,0,0,26.55,1,1.0,0,1,0,1,0,0,0,1
12,13,3,20.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
13,14,3,39.0,1,5,31.275,0,1.0,6,21,0,0,0,0,0,0
14,15,3,14.0,0,0,7.8542,1,1.0,0,3,0,0,0,0,0,0
15,16,2,55.0,0,0,16.0,1,1.0,0,2,0,0,0,0,0,1
16,17,3,2.0,4,1,29.125,0,3.0,5,18,0,0,0,0,0,0
17,18,2,29.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,1
18,19,3,31.0,1,0,18.0,1,1.0,1,6,0,0,0,0,0,0
19,20,3,24.0,0,0,7.225,1,2.0,0,3,0,0,0,0,0,1
20,21,2,35.0,0,0,26.0,0,1.0,0,2,0,0,0,0,0,0
21,22,2,34.0,0,0,13.0,0,1.0,0,2,0,0,1,0,0,1
22,23,3,15.0,0,0,8.0292,1,3.0,0,3,0,0,0,0,0,1
23,24,1,28.0,0,0,35.5,0,1.0,0,1,0,0,0,0,1,1
24,25,3,8.0,3,1,21.075,1,1.0,4,15,0,0,0,0,0,0
25,26,3,38.0,1,5,31.3875,1,1.0,6,21,0,0,0,0,0,1
26,27,3,24.0,0,0,7.225,0,2.0,0,3,0,0,0,0,0,0
27,28,1,19.0,3,2,263.0,0,1.0,5,6,0,1,0,0,0,0
28,29,3,24.0,0,0,7.8792,1,3.0,0,3,0,0,0,0,0,1
29,30,3,24.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
30,31,1,40.0,0,0,27.7208,0,2.0,0,1,0,0,0,0,0,0
31,32,1,37.0,1,0,146.5208,1,2.0,1,2,1,0,0,0,0,1
32,33,3,24.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
33,34,2,66.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
34,35,1,28.0,1,0,82.1708,0,2.0,1,2,0,0,0,0,0,0
35,36,1,42.0,1,0,52.0,0,1.0,1,2,0,0,0,0,0,0
36,37,3,24.0,0,0,7.2292,0,2.0,0,3,0,0,0,0,0,1
37,38,3,21.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
38,39,3,18.0,2,0,18.0,1,1.0,2,9,0,0,0,0,0,0
39,40,3,14.0,1,0,11.2417,1,2.0,1,6,0,0,0,0,0,1
40,41,3,40.0,1,0,9.475,1,1.0,1,6,0,0,0,0,0,0
41,42,2,27.0,1,0,21.0,1,1.0,1,4,0,0,0,0,0,0
42,43,3,24.0,0,0,7.8958,0,2.0,0,3,0,0,0,0,0,0
43,44,2,3.0,1,2,41.5792,1,2.0,3,8,0,0,0,0,0,1
44,45,3,19.0,0,0,7.8792,1,3.0,0,3,0,0,0,0,0,1
45,46,3,24.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
46,47,3,24.0,1,0,15.5,0,3.0,1,6,0,0,0,0,0,0
47,48,3,24.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
48,49,3,24.0,2,0,21.6792,0,2.0,2,9,0,0,0,0,0,0
49,50,3,18.0,1,0,17.8,1,1.0,1,6,0,0,0,0,0,0
50,51,3,7.0,4,1,39.6875,0,1.0,5,18,0,0,0,0,0,0
51,52,3,21.0,0,0,7.8,0,1.0,0,3,0,0,0,0,0,0
52,53,1,49.0,1,0,76.7292,1,2.0,1,2,0,0,1,0,0,1
53,54,2,29.0,1,0,26.0,1,1.0,1,4,0,0,0,0,0,1
54,55,1,65.0,0,1,61.9792,0,2.0,1,2,1,0,0,0,0,0
55,56,1,37.0,0,0,35.5,0,1.0,0,1,0,1,0,0,0,1
56,57,2,21.0,0,0,10.5,1,1.0,0,2,0,0,0,0,0,1
57,58,3,28.5,0,0,7.2292,0,2.0,0,3,0,0,0,0,0,0
58,59,2,5.0,1,2,27.75,1,1.0,3,8,0,0,0,0,0,1
59,60,3,11.0,5,2,46.9,0,1.0,7,24,0,0,0,0,0,0
60,61,3,22.0,0,0,7.2292,0,2.0,0,3,0,0,0,0,0,0
61,62,1,38.0,0,0,80.0,1,0.0,0,1,1,0,0,0,0,1
62,63,1,45.0,1,0,83.475,0,1.0,1,2,0,1,0,0,0,0
63,64,3,4.0,3,2,27.9,0,1.0,5,18,0,0,0,0,0,0
64,65,1,37.0,0,0,27.7208,0,2.0,0,1,0,0,0,0,0,0
65,66,3,24.0,1,1,15.2458,0,2.0,2,9,0,0,0,0,0,1
66,67,2,29.0,0,0,10.5,1,1.0,0,2,0,0,0,0,1,1
67,68,3,19.0,0,0,8.1583,0,1.0,0,3,0,0,0,0,0,0
68,69,3,17.0,4,2,7.925,1,1.0,6,21,0,0,0,0,0,1
69,70,3,26.0,2,0,8.6625,0,1.0,2,9,0,0,0,0,0,0
70,71,2,32.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
71,72,3,16.0,5,2,46.9,1,1.0,7,24,0,0,0,0,0,0
72,73,2,21.0,0,0,73.5,0,1.0,0,2,0,0,0,0,0,0
73,74,3,26.0,1,0,14.4542,0,2.0,1,6,0,0,0,0,0,0
74,75,3,32.0,0,0,56.4958,0,1.0,0,3,0,0,0,0,0,1
75,76,3,25.0,0,0,7.65,0,1.0,0,3,0,0,0,0,1,0
76,77,3,24.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
77,78,3,24.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
78,79,2,0.83,0,2,29.0,0,1.0,2,6,0,0,0,0,0,1
79,80,3,30.0,0,0,12.475,1,1.0,0,3,0,0,0,0,0,1
80,81,3,22.0,0,0,9.0,0,1.0,0,3,0,0,0,0,0,0
81,82,3,29.0,0,0,9.5,0,1.0,0,3,0,0,0,0,0,1
82,83,3,24.0,0,0,7.7875,1,3.0,0,3,0,0,0,0,0,1
83,84,1,28.0,0,0,47.1,0,1.0,0,1,0,0,0,0,0,0
84,85,2,17.0,0,0,10.5,1,1.0,0,2,0,0,0,0,0,1
85,86,3,33.0,3,0,15.85,1,1.0,3,12,0,0,0,0,0,1
86,87,3,16.0,1,3,34.375,0,1.0,4,15,0,0,0,0,0,0
87,88,3,24.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
88,89,1,23.0,3,2,263.0,1,1.0,5,6,0,1,0,0,0,1
89,90,3,24.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
90,91,3,29.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
91,92,3,20.0,0,0,7.8542,0,1.0,0,3,0,0,0,0,0,0
92,93,1,46.0,1,0,61.175,0,1.0,1,2,0,0,0,1,0,0
93,94,3,26.0,1,2,20.575,0,1.0,3,12,0,0,0,0,0,0
94,95,3,59.0,0,0,7.25,0,1.0,0,3,0,0,0,0,0,0
95,96,3,24.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
96,97,1,71.0,0,0,34.6542,0,2.0,0,1,0,0,0,0,1,0
97,98,1,23.0,0,1,63.3583,0,2.0,1,2,0,0,1,0,0,1
98,99,2,34.0,0,1,23.0,1,1.0,1,4,0,0,0,0,0,1
99,100,2,34.0,1,0,26.0,0,1.0,1,4,0,0,0,0,0,0
100,101,3,28.0,0,0,7.8958,1,1.0,0,3,0,0,0,0,0,0
101,102,3,24.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
102,103,1,21.0,0,1,77.2875,0,1.0,1,2,0,0,1,0,0,0
103,104,3,33.0,0,0,8.6542,0,1.0,0,3,0,0,0,0,0,0
104,105,3,37.0,2,0,7.925,0,1.0,2,9,0,0,0,0,0,0
105,106,3,28.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
106,107,3,21.0,0,0,7.65,1,1.0,0,3,0,0,0,0,0,1
107,108,3,24.0,0,0,7.775,0,1.0,0,3,0,0,0,0,0,1
108,109,3,38.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
109,110,3,24.0,1,0,24.15,1,3.0,1,6,0,0,0,0,0,1
110,111,1,47.0,0,0,52.0,0,1.0,0,1,0,1,0,0,0,0
111,112,3,14.5,1,0,14.4542,1,2.0,1,6,0,0,0,0,0,0
112,113,3,22.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
113,114,3,20.0,1,0,9.825,1,1.0,1,6,0,0,0,0,0,0
114,115,3,17.0,0,0,14.4583,1,2.0,0,3,0,0,0,0,0,0
115,116,3,21.0,0,0,7.925,0,1.0,0,3,0,0,0,0,0,0
116,117,3,70.5,0,0,7.75,0,3.0,0,3,0,0,0,0,0,0
117,118,2,29.0,1,0,21.0,0,1.0,1,4,0,0,0,0,0,0
118,119,1,24.0,0,1,247.5208,0,2.0,1,2,1,0,0,0,0,0
119,120,3,2.0,4,2,31.275,1,1.0,6,21,0,0,0,0,0,0
120,121,2,21.0,2,0,73.5,0,1.0,2,6,0,0,0,0,0,0
121,122,3,24.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
122,123,2,32.5,1,0,30.0708,0,2.0,1,4,0,0,0,0,0,0
123,124,2,32.5,0,0,13.0,1,1.0,0,2,0,0,0,1,0,1
124,125,1,54.0,0,1,77.2875,0,1.0,1,2,0,0,1,0,0,0
125,126,3,12.0,1,0,11.2417,0,2.0,1,6,0,0,0,0,0,1
126,127,3,24.0,0,0,7.75,0,3.0,0,3,0,0,0,0,0,0
127,128,3,24.0,0,0,7.1417,0,1.0,0,3,0,0,0,0,0,1
128,129,3,24.0,1,1,22.3583,1,2.0,2,9,0,0,0,0,1,1
129,130,3,45.0,0,0,6.975,0,1.0,0,3,0,0,0,0,0,0
130,131,3,33.0,0,0,7.8958,0,2.0,0,3,0,0,0,0,0,0
131,132,3,20.0,0,0,7.05,0,1.0,0,3,0,0,0,0,0,0
132,133,3,47.0,1,0,14.5,1,1.0,1,6,0,0,0,0,0,0
133,134,2,29.0,1,0,26.0,1,1.0,1,4,0,0,0,0,0,1
134,135,2,25.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,0
135,136,2,23.0,0,0,15.0458,0,2.0,0,2,0,0,0,0,0,0
136,137,1,19.0,0,2,26.2833,1,1.0,2,3,0,0,1,0,0,1
137,138,1,37.0,1,0,53.1,0,1.0,1,2,0,1,0,0,0,0
138,139,3,16.0,0,0,9.2167,0,1.0,0,3,0,0,0,0,0,0
139,140,1,24.0,0,0,79.2,0,2.0,0,1,1,0,0,0,0,0
140,141,3,24.0,0,2,15.2458,1,2.0,2,9,0,0,0,0,0,0
141,142,3,22.0,0,0,7.75,1,1.0,0,3,0,0,0,0,0,1
142,143,3,24.0,1,0,15.85,1,1.0,1,6,0,0,0,0,0,1
143,144,3,19.0,0,0,6.75,0,3.0,0,3,0,0,0,0,0,0
144,145,2,18.0,0,0,11.5,0,1.0,0,2,0,0,0,0,0,0
145,146,2,19.0,1,1,36.75,0,1.0,2,6,0,0,0,0,0,0
146,147,3,27.0,0,0,7.7958,0,1.0,0,3,0,0,0,0,0,1
147,148,3,9.0,2,2,34.375,1,1.0,4,15,0,0,0,0,0,0
148,149,2,36.5,0,2,26.0,0,1.0,2,6,0,0,0,0,1,0
149,150,2,42.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,0
150,151,2,51.0,0,0,12.525,0,1.0,0,2,0,0,0,0,0,0
151,152,1,22.0,1,0,66.6,1,1.0,1,2,0,1,0,0,0,1
152,153,3,55.5,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
153,154,3,40.5,0,2,14.5,0,1.0,2,9,0,0,0,0,0,0
154,155,3,24.0,0,0,7.3125,0,1.0,0,3,0,0,0,0,0,0
155,156,1,51.0,0,1,61.3792,0,2.0,1,2,0,0,0,0,0,0
156,157,3,16.0,0,0,7.7333,1,3.0,0,3,0,0,0,0,0,1
157,158,3,30.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
158,159,3,24.0,0,0,8.6625,0,1.0,0,3,0,0,0,0,0,0
159,160,3,24.0,8,2,69.55,0,1.0,10,33,0,0,0,0,0,0
160,161,3,44.0,0,1,16.1,0,1.0,1,6,0,0,0,0,0,0
161,162,2,40.0,0,0,15.75,1,1.0,0,2,0,0,0,0,0,1
162,163,3,26.0,0,0,7.775,0,1.0,0,3,0,0,0,0,0,0
163,164,3,17.0,0,0,8.6625,0,1.0,0,3,0,0,0,0,0,0
164,165,3,1.0,4,1,39.6875,0,1.0,5,18,0,0,0,0,0,0
165,166,3,9.0,0,2,20.525,0,1.0,2,9,0,0,0,0,0,1
166,167,1,37.0,0,1,55.0,1,1.0,1,2,0,0,0,1,0,1
167,168,3,45.0,1,4,27.9,1,1.0,5,18,0,0,0,0,0,0
168,169,1,37.0,0,0,25.925,0,1.0,0,1,0,0,0,0,0,0
169,170,3,28.0,0,0,56.4958,0,1.0,0,3,0,0,0,0,0,0
170,171,1,61.0,0,0,33.5,0,1.0,0,1,1,0,0,0,0,0
171,172,3,4.0,4,1,29.125,0,3.0,5,18,0,0,0,0,0,0
172,173,3,1.0,1,1,11.1333,1,1.0,2,9,0,0,0,0,0,1
173,174,3,21.0,0,0,7.925,0,1.0,0,3,0,0,0,0,0,0
174,175,1,56.0,0,0,30.6958,0,2.0,0,1,0,0,0,0,1,0
175,176,3,18.0,1,1,7.8542,0,1.0,2,9,0,0,0,0,0,0
176,177,3,24.0,3,1,25.4667,0,1.0,4,15,0,0,0,0,0,0
177,178,1,50.0,0,0,28.7125,1,2.0,0,1,0,1,0,0,0,0
178,179,2,30.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,0
179,180,3,36.0,0,0,0.0,0,1.0,0,3,0,0,0,0,0,0
180,181,3,24.0,8,2,69.55,1,1.0,10,33,0,0,0,0,0,0
181,182,2,29.0,0,0,15.05,0,2.0,0,2,0,0,0,0,0,0
182,183,3,9.0,4,2,31.3875,0,1.0,6,21,0,0,0,0,0,0
183,184,2,1.0,2,1,39.0,0,1.0,3,8,0,0,0,0,1,1
184,185,3,4.0,0,2,22.025,1,1.0,2,9,0,0,0,0,0,1
185,186,1,37.0,0,0,50.0,0,1.0,0,1,0,0,0,0,1,0
186,187,3,24.0,1,0,15.5,1,3.0,1,6,0,0,0,0,0,1
187,188,1,45.0,0,0,26.55,0,1.0,0,1,0,0,0,0,0,1
188,189,3,40.0,1,1,15.5,0,3.0,2,9,0,0,0,0,0,0
189,190,3,36.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
190,191,2,32.0,0,0,13.0,1,1.0,0,2,0,0,0,0,0,1
191,192,2,19.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,0
192,193,3,19.0,1,0,7.8542,1,1.0,1,6,0,0,0,0,0,1
193,194,2,3.0,1,1,26.0,0,1.0,2,6,0,0,0,0,1,1
194,195,1,44.0,0,0,27.7208,1,2.0,0,1,1,0,0,0,0,1
195,196,1,58.0,0,0,146.5208,1,2.0,0,1,1,0,0,0,0,1
196,197,3,24.0,0,0,7.75,0,3.0,0,3,0,0,0,0,0,0
197,198,3,42.0,0,1,8.4042,0,1.0,1,6,0,0,0,0,0,0
198,199,3,24.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
199,200,2,24.0,0,0,13.0,1,1.0,0,2,0,0,0,0,0,0
200,201,3,28.0,0,0,9.5,0,1.0,0,3,0,0,0,0,0,0
201,202,3,24.0,8,2,69.55,0,1.0,10,33,0,0,0,0,0,0
202,203,3,34.0,0,0,6.4958,0,1.0,0,3,0,0,0,0,0,0
203,204,3,45.5,0,0,7.225,0,2.0,0,3,0,0,0,0,0,0
204,205,3,18.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,1
205,206,3,2.0,0,1,10.4625,1,1.0,1,6,0,0,0,0,1,0
206,207,3,32.0,1,0,15.85,0,1.0,1,6,0,0,0,0,0,0
207,208,3,26.0,0,0,18.7875,0,2.0,0,3,0,0,0,0,0,1
208,209,3,16.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
209,210,1,40.0,0,0,31.0,0,2.0,0,1,0,0,0,0,1,1
210,211,3,24.0,0,0,7.05,0,1.0,0,3,0,0,0,0,0,0
211,212,2,35.0,0,0,21.0,1,1.0,0,2,0,0,0,0,0,1
212,213,3,22.0,0,0,7.25,0,1.0,0,3,0,0,0,0,0,0
213,214,2,30.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,0
214,215,3,24.0,1,0,7.75,0,3.0,1,6,0,0,0,0,0,0
215,216,1,31.0,1,0,113.275,1,2.0,1,2,0,0,1,0,0,1
216,217,3,27.0,0,0,7.925,1,1.0,0,3,0,0,0,0,0,1
217,218,2,42.0,1,0,27.0,0,1.0,1,4,0,0,0,0,0,0
218,219,1,32.0,0,0,76.2917,1,2.0,0,1,0,0,1,0,0,1
219,220,2,30.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
220,221,3,16.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,1
221,222,2,27.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,0
222,223,3,51.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,0
223,224,3,24.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
224,225,1,38.0,1,0,90.0,0,1.0,1,2,0,1,0,0,0,1
225,226,3,22.0,0,0,9.35,0,1.0,0,3,0,0,0,0,0,0
226,227,2,19.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,1
227,228,3,20.5,0,0,7.25,0,1.0,0,3,0,0,0,0,0,0
228,229,2,18.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,0
229,230,3,24.0,3,1,25.4667,1,1.0,4,15,0,0,0,0,0,0
230,231,1,35.0,1,0,83.475,1,1.0,1,2,0,1,0,0,0,1
231,232,3,29.0,0,0,7.775,0,1.0,0,3,0,0,0,0,0,0
232,233,2,59.0,0,0,13.5,0,1.0,0,2,0,0,0,0,0,0
233,234,3,5.0,4,2,31.3875,1,1.0,6,21,0,0,0,0,0,1
234,235,2,24.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
235,236,3,24.0,0,0,7.55,1,1.0,0,3,0,0,0,0,0,0
236,237,2,44.0,1,0,26.0,0,1.0,1,4,0,0,0,0,0,0
237,238,2,8.0,0,2,26.25,1,1.0,2,6,0,0,0,0,0,1
238,239,2,19.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
239,240,2,33.0,0,0,12.275,0,1.0,0,2,0,0,0,0,0,0
240,241,3,24.0,1,0,14.4542,1,2.0,1,6,0,0,0,0,0,0
241,242,3,24.0,1,0,15.5,1,3.0,1,6,0,0,0,0,0,1
242,243,2,29.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
243,244,3,22.0,0,0,7.125,0,1.0,0,3,0,0,0,0,0,0
244,245,3,30.0,0,0,7.225,0,2.0,0,3,0,0,0,0,0,0
245,246,1,44.0,2,0,90.0,0,3.0,2,3,0,1,0,0,0,0
246,247,3,25.0,0,0,7.775,1,1.0,0,3,0,0,0,0,0,0
247,248,2,24.0,0,2,14.5,1,1.0,2,6,0,0,0,0,0,1
248,249,1,37.0,1,1,52.5542,0,1.0,2,3,0,0,1,0,0,1
249,250,2,54.0,1,0,26.0,0,1.0,1,4,0,0,0,0,0,0
250,251,3,24.0,0,0,7.25,0,1.0,0,3,0,0,0,0,0,0
251,252,3,29.0,1,1,10.4625,1,1.0,2,9,0,0,0,0,1,0
252,253,1,62.0,0,0,26.55,0,1.0,0,1,0,1,0,0,0,0
253,254,3,30.0,1,0,16.1,0,1.0,1,6,0,0,0,0,0,0
254,255,3,41.0,0,2,20.2125,1,1.0,2,9,0,0,0,0,0,0
255,256,3,29.0,0,2,15.2458,1,2.0,2,9,0,0,0,0,0,1
256,257,1,37.0,0,0,79.2,1,2.0,0,1,0,0,0,0,0,1
257,258,1,30.0,0,0,86.5,1,1.0,0,1,1,0,0,0,0,1
258,259,1,35.0,0,0,512.3292,1,2.0,0,1,0,0,0,0,0,1
259,260,2,50.0,0,1,26.0,1,1.0,1,4,0,0,0,0,0,1
260,261,3,24.0,0,0,7.75,0,3.0,0,3,0,0,0,0,0,0
261,262,3,3.0,4,2,31.3875,0,1.0,6,21,0,0,0,0,0,1
262,263,1,52.0,1,1,79.65,0,1.0,2,3,0,0,0,1,0,0
263,264,1,40.0,0,0,0.0,0,1.0,0,1,1,0,0,0,0,0
264,265,3,24.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,0
265,266,2,36.0,0,0,10.5,0,1.0,0,2,0,0,0,0,0,0
266,267,3,16.0,4,1,39.6875,0,1.0,5,18,0,0,0,0,0,0
267,268,3,25.0,1,0,7.775,0,1.0,1,6,0,0,0,0,0,1
268,269,1,58.0,0,1,153.4625,1,1.0,1,2,0,1,0,0,0,1
269,270,1,35.0,0,0,135.6333,1,1.0,0,1,0,1,0,0,0,1
270,271,1,37.0,0,0,31.0,0,1.0,0,1,0,0,0,0,0,0
271,272,3,25.0,0,0,0.0,0,1.0,0,3,0,0,0,0,0,1
272,273,2,41.0,0,1,19.5,1,1.0,1,4,0,0,0,0,0,1
273,274,1,37.0,0,1,29.7,0,2.0,1,2,0,1,0,0,0,0
274,275,3,24.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
275,276,1,63.0,1,0,77.9583,1,1.0,1,2,0,0,1,0,0,1
276,277,3,45.0,0,0,7.75,1,1.0,0,3,0,0,0,0,0,0
277,278,2,29.0,0,0,0.0,0,1.0,0,2,0,0,0,0,0,0
278,279,3,7.0,4,1,29.125,0,3.0,5,18,0,0,0,0,0,0
279,280,3,35.0,1,1,20.25,1,1.0,2,9,0,0,0,0,0,1
280,281,3,65.0,0,0,7.75,0,3.0,0,3,0,0,0,0,0,0
281,282,3,28.0,0,0,7.8542,0,1.0,0,3,0,0,0,0,0,0
282,283,3,16.0,0,0,9.5,0,1.0,0,3,0,0,0,0,0,0
283,284,3,19.0,0,0,8.05,0,1.0,0,3,0,0,0,0,0,1
284,285,1,37.0,0,0,26.0,0,1.0,0,1,0,0,0,0,1,0
285,286,3,33.0,0,0,8.6625,0,2.0,0,3,0,0,0,0,0,0
286,287,3,30.0,0,0,9.5,0,1.0,0,3,0,0,0,0,0,1
287,288,3,22.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
288,289,2,42.0,0,0,13.0,0,1.0,0,2,0,0,0,0,0,1
289,290,3,22.0,0,0,7.75,1,3.0,0,3,0,0,0,0,0,1
290,291,1,26.0,0,0,78.85,1,1.0,0,1,0,0,0,0,0,1
291,292,1,19.0,1,0,91.0792,1,2.0,1,2,1,0,0,0,0,1
292,293,2,36.0,0,0,12.875,0,2.0,0,2,0,0,1,0,0,0
293,294,3,24.0,0,0,8.85,1,1.0,0,3,0,0,0,0,0,0
294,295,3,24.0,0,0,7.8958,0,1.0,0,3,0,0,0,0,0,0
295,296,1,37.0,0,0,27.7208,0,2.0,0,1,0,0,0,0,0,0
296,297,3,23.5,0,0,7.2292,0,2.0,0,3,0,0,0,0,0,0
297,298,1,2.0,1,2,151.55,1,1.0,3,4,0,1,0,0,0,0
